Part_ID,Location,History_Start,History_End,Period_Count,Complete_History,Mean_Demand,Zero_Share,Demand_CV,XYZ,XYZ_Boundary_Distance,ADI,CV2_Nonzero_Demand,Demand_Pattern,ADI_Boundary_Distance,CV2_Boundary_Distance,Approved_Unit_Cost_Base,Annualized_Usage_Units,Annual_Usage_Value,Criticality,Lifecycle_Status,Rank,Annual_Usage_Value_Share,Cumulative_Annual_Usage_Value_Share,Usage_Value_ABC,Usage_Value_ABC_Boundary_Distance,Segmentation_Status,ABC_XYZ
DRV-03,PLANT-01,2023-07,2026-06,36,Yes,219.38888888888889,0.0,1.1207123456750816,Z,0.1207123456750816,1.0,1.2559961617485436,Erratic,0.32000000000000006,0.7659961617485436,369.1,2632.6666666666665,971717.2666666667,High,Active,11,0.020682354243378696,0.3128255572835626,A,0.48717444271643745,Valid,AZ
HYP-03,PLANT-01,2023-07,2026-06,36,Yes,240.88888888888889,0.027777777777777776,0.22405819662657245,X,0.27594180337342755,1.0285714285714285,0.021029795601230916,Smooth,0.2914285714285716,0.4689702043987691,317.95,2890.6666666666665,919087.4666666666,High,Active,12,0.019562164035076497,0.3323877213186391,A,0.46761227868136096,Valid,AX
CVL-07,PLANT-01,2023-07,2026-06,36,Yes,326.3888888888889,0.3333333333333333,0.7208803229511176,Y,0.2208803229511176,1.5,0.01311229334540516,Intermittent,0.17999999999999994,0.47688770665459485,234.36,3916.666666666667,917910.0000000001,Critical,Active,13,0.019537102442013215,0.3519248237606523,A,0.44807517623934773,Valid,AY
HYP-05,PLANT-01,2023-07,2026-06,36,Yes,203.13888888888889,0.3888888888888889,0.8157759156892055,Y,0.1842240843107945,1.6363636363636365,0.01779965504467663,Intermittent,0.3163636363636364,0.47220034495532337,366.34,2437.6666666666665,893014.8066666665,Critical,Active,14,0.019007224847840516,0.3709320486084928,A,0.4290679513915072,Valid,AY
CVL-08,PLANT-01,2023-07,2026-06,36,Yes,289.8611111111111,0.4722222222222222,1.6637161201712218,Z,0.6637161201712218,1.894736842105263,0.9886409789398353,Lumpy,0.574736842105263,0.4986409789398353,248.03,3478.333333333333,862731.0166666666,Critical,Active,15,0.01836265456582767,0.38929470317432047,A,0.4107052968256796,Valid,AZ
CVL-05,PLANT-01,2023-07,2026-06,36,Yes,331.05555555555554,0.05555555555555555,0.2709592886254052,X,0.2290407113745948,1.0588235294117647,0.013784550753919756,Smooth,0.26117647058823534,0.4762154492460802,207.02,3972.6666666666665,822421.4533333334,Critical,Active,16,0.017504692381914048,0.4067993955562345,A,0.39320060444376553,Valid,AX
GBX-05,PLANT-01,2023-07,2026-06,36,Yes,508.3888888888889,0.05555555555555555,0.2722784126648879,X,0.2277215873351121,1.0588235294117647,0.014461337669793729,Smooth,0.26117647058823534,0.47553866233020625,134.46,6100.666666666667,820295.6400000001,Critical,Active,17,0.017459445862248797,0.4242588414184833,A,0.37574115858151674,Valid,AX
HYP-06,PLANT-01,2023-07,2026-06,36,Yes,172.41666666666666,0.5555555555555556,1.929301021310431,Z,0.9293010213104309,2.25,1.0987566359242096,Lumpy,0.9299999999999999,0.6087566359242096,390.53,2069.0,808006.57,Critical,Active,18,0.017197881199583532,0.44145672261806684,A,0.3585432773819332,Valid,AZ
SNS-05,PLANT-01,2023-07,2026-06,36,Yes,672.0,0.027777777777777776,0.2484824480371849,X,0.2515175519628151,1.0285714285714285,0.03225065123303694,Smooth,0.2914285714285716,0.45774934876696305,99.72,8064.0,804142.08,Medium,Active,19,0.01711562810612542,0.4585723507241922,A,0.3414276492758078,Valid,AX
PCK-03,PLANT-01,2023-07,2026-06,36,Yes,131.55555555555554,0.05555555555555555,1.1695209342094894,Z,0.16952093420948944,1.0588235294117647,1.2362359258012237,Erratic,0.26117647058823534,0.7462359258012237,489.44,1578.6666666666665,772662.6133333333,Medium,Active,20,0.016445608643338647,0.4750179593675309,A,0.32498204063246916,Valid,AZ
DRV-02,PLANT-01,2023-07,2026-06,36,Yes,188.25,0.0,0.15768819393906022,X,0.3423118060609398,1.0,0.02486556650776267,Smooth,0.32000000000000006,0.4651344334922373,341.02,2259.0,770364.1799999999,High,Active,21,0.016396688022047374,0.49141464738957824,A,0.3085853526104218,Valid,AX
GBX-07,PLANT-01,2023-07,2026-06,36,Yes,420.8333333333333,0.4444444444444444,0.9106454253316076,Y,0.08935457466839236,1.8,0.016263939265213648,Intermittent,0.48,0.47373606073478636,152.22,5050.0,768711.0,Critical,Active,22,0.01636150118780972,0.507776148577388,A,0.2922238514226121,Valid,AY
SNS-07,PLANT-01,2023-07,2026-06,36,Yes,502.97222222222223,0.4444444444444444,0.9378910024588663,Y,0.06210899754113375,1.8,0.04424418471849846,Intermittent,0.48,0.44575581528150154,112.9,6035.666666666667,681426.7666666667,High,New Introduction,23,0.014503714467754466,0.5222798630451424,A,0.27772013695485764,Valid,AY
SNS-08,PLANT-01,2023-07,2026-06,36,Yes,470.6388888888889,0.6388888888888888,2.195360702592198,Z,1.1953607025921982,2.769230769230769,1.1015253330088728,Lumpy,1.449230769230769,0.6115253330088728,119.48,5647.666666666667,674783.2133333334,High,New Introduction,24,0.01436231086385832,0.5366421739090008,A,0.2633578260909992,Valid,AZ
PCK-05,PLANT-01,2023-07,2026-06,36,Yes,98.77777777777777,0.5,1.0465739181463183,Z,0.04657391814631828,2.0,0.047658483072068186,Intermittent,0.6799999999999999,0.4423415169279318,563.92,1185.3333333333333,668433.1733333332,Medium,Active,25,0.014227154495596852,0.5508693284045976,A,0.24913067159540248,Valid,AZ
GBX-06,PLANT-01,2023-07,2026-06,36,Yes,379.1111111111111,0.3888888888888889,0.8290256555661039,Y,0.17097434443389614,1.6363636363636365,0.031117717414160626,Intermittent,0.3163636363636364,0.45888228258583935,143.34,4549.333333333333,652101.44,Critical,Active,26,0.013879544438849487,0.5647488728434471,A,0.23525112715655294,Valid,AY
HYP-08,PLANT-01,2023-07,2026-06,36,Yes,123.27777777777777,0.7222222222222222,2.6705974632336296,Z,1.6705974632336296,3.6,1.2589141140638602,Lumpy,2.2800000000000002,0.7689141140638602,438.91,1479.3333333333333,649294.1933333334,Critical,Active,27,0.01381979406494936,0.5785686669083965,A,0.22143133309160357,Valid,AZ
HYP-02,PLANT-01,2023-07,2026-06,36,Yes,182.19444444444446,0.1388888888888889,1.2179150234269998,Z,0.21791502342699975,1.1612903225806452,1.1384118648045796,Erratic,0.15870967741935482,0.6484118648045796,293.76,2186.3333333333335,642257.28,High,Active,28,0.013670018055679495,0.592238684964076,A,0.2077613150359241,Valid,AZ
BRG-06,PLANT-01,2023-07,2026-06,36,Yes,938.8333333333334,0.1388888888888889,1.244363530653606,Z,0.24436353065360605,1.1612903225806452,1.1944905135844985,Erratic,0.15870967741935482,0.7044905135844985,56.41,11266.0,635515.0599999999,High,Active,29,0.013526514397557683,0.6057651993616336,A,0.1942348006383664,Valid,AZ
SNS-06,PLANT-01,2023-07,2026-06,36,Yes,492.22222222222223,0.3888888888888889,0.8260338431151085,Y,0.17396615688489148,1.6363636363636365,0.028091722760370752,Intermittent,0.3163636363636364,0.46190827723962924,106.31,5906.666666666667,627937.7333333334,Medium,Active,30,0.013365236050744527,0.6191304354123781,A,0.18086956458762193,Valid,AY
GBX-04,PLANT-01,2023-07,2026-06,36,Yes,403.52777777777777,0.1388888888888889,1.2048274653231694,Z,0.20482746532316942,1.1612903225806452,1.1111079404752402,Erratic,0.15870967741935482,0.6211079404752402,125.58,4842.333333333333,608100.22,High,Active,31,0.012943007803761558,0.6320734432161397,A,0.16792655678386037,Valid,AZ
CVL-04,PLANT-01,2023-07,2026-06,36,Yes,259.72222222222223,0.1388888888888889,1.2927446289519742,Z,0.2927446289519742,1.1612903225806452,1.3001902485058199,Erratic,0.15870967741935482,0.8101902485058199,193.35,3116.666666666667,602607.5,High,Active,32,0.012826098920183326,0.6448995421363231,A,0.155100457863677,Valid,AZ
PCK-06,PLANT-01,2023-07,2026-06,36,Yes,83.22222222222223,0.7222222222222222,2.2738732805675372,Z,1.2738732805675372,3.6,0.7140276933552702,Lumpy,2.2800000000000002,0.22402769335527017,601.16,998.6666666666667,600358.4533333334,Medium,Active,33,0.012778229461169334,0.6576777715974923,A,0.14232222840250774,Valid,AZ
SNS-04,PLANT-01,2023-07,2026-06,36,Yes,531.9444444444445,0.08333333333333333,1.2084902718367738,Z,0.20849027183677382,1.0909090909090908,1.2554113423637767,Erratic,0.22909090909090923,0.7654113423637767,93.14,6383.333333333334,594543.6666666667,Medium,Active,34,0.012654465603290982,0.6703322372007834,A,0.12966776279921666,Valid,AZ
BRG-05,PLANT-01,2023-07,2026-06,36,Yes,882.5,0.027777777777777776,0.20064489187129517,X,0.2993551081287048,1.0285714285714285,0.01136230672754252,Smooth,0.2914285714285716,0.4786376932724575,52.92,10590.0,560422.8,High,Active,35,0.011928225702345419,0.6822604629031288,A,0.11773953709687124,Valid,AX
BRG-07,PLANT-01,2023-07,2026-06,36,Yes,774.8611111111111,0.3888888888888889,0.8093014551956469,Y,0.1906985448043531,1.6363636363636365,0.011369849955539297,Intermittent,0.3163636363636364,0.4786301500444607,59.9,9298.333333333332,556970.1666666666,High,Active,36,0.011854738703480559,0.6941152016066093,A,0.10588479839339071,Valid,AY
CVL-03,PLANT-01,2023-07,2026-06,36,Yes,253.75,0.0,0.1284013454111073,X,0.37159865458889274,1.0,0.01648690550338248,Smooth,0.32000000000000006,0.4735130944966175,179.68,3045.0,547125.6,High,Active,37,0.011645203664681662,0.705760405271291,A,0.09423959472870902,Valid,AX
DRV-01,PLANT-01,2023-07,2026-06,36,Yes,143.97222222222223,0.05555555555555555,0.296667512690051,X,0.20333248730994902,1.0588235294117647,0.02756652346982926,Smooth,0.26117647058823534,0.46243347653017075,312.94,1727.6666666666667,540656.0066666667,High,Active,38,0.01150750268341825,0.7172679079547093,A,0.08273209204529075,Valid,AX
CNV-05,PLANT-01,2023-07,2026-06,36,Yes,683.7777777777778,0.0,1.0215768662305504,Z,0.02157686623055044,1.0,1.043619293617432,Erratic,0.32000000000000006,0.553619293617432,65.83,8205.333333333334,540157.0933333334,High,Active,39,0.011496883645709739,0.7287647916004191,A,0.07123520839958097,Valid,AZ
BRG-08,PLANT-01,2023-07,2026-06,36,Yes,671.6111111111111,0.5555555555555556,1.9830718371166696,Z,0.9830718371166696,2.25,1.1922550716290141,Lumpy,0.9299999999999999,0.7022550716290141,63.4,8059.333333333333,510961.7333333333,High,Active,40,0.010875479870664848,0.7396402714710839,A,0.060359728528916134,Valid,AZ
HYP-01,PLANT-01,2023-07,2026-06,36,Yes,155.58333333333334,0.05555555555555555,0.3115638885192943,X,0.18843611148070571,1.0588235294117647,0.03612360903874862,Smooth,0.26117647058823534,0.4538763909612514,269.57,1867.0,503287.19,High,Active,41,0.010712132331909412,0.7503524038029933,A,0.04964759619700676,Valid,AX
SNS-03,PLANT-01,2023-07,2026-06,36,Yes,478.22222222222223,0.05555555555555555,0.3011160931966251,X,0.19888390680337492,1.0588235294117647,0.030078073716331994,Smooth,0.26117647058823534,0.459921926283668,86.55,5738.666666666667,496681.60000000003,Medium,Active,42,0.010571536752255702,0.760923940555249,A,0.03907605944475101,Valid,AX
PCK-04,PLANT-01,2023-07,2026-06,36,Yes,77.22222222222223,0.5555555555555556,1.9807097248013588,Z,0.9807097248013588,2.25,1.188093783965633,Lumpy,0.9299999999999999,0.6980937839656329,526.68,926.6666666666667,488056.8,Medium,Active,43,0.010387963633821566,0.7713119041890706,A,0.02868809581092946,Valid,AZ
GBX-03,PLANT-01,2023-07,2026-06,36,Yes,343.3611111111111,0.1111111111111111,1.1907529164058381,Z,0.19075291640583814,1.125,1.1492377848257853,Erratic,0.19500000000000006,0.6592377848257853,116.7,4120.333333333333,480842.89999999997,High,Active,44,0.01023442058133664,0.7815463247704072,A,0.018453675229592847,Valid,AZ
PCK-02,PLANT-01,2023-07,2026-06,36,Yes,87.11111111111111,0.3888888888888889,1.6443706189308922,Z,0.6443706189308922,1.6363636363636365,1.2635278920241568,Lumpy,0.3163636363636364,0.7735278920241568,452.2,1045.3333333333335,472699.7333333334,Medium,Active,45,0.010061098707330416,0.7916074234777376,A,0.00839257652226244,Valid,AZ
GBX-08,PLANT-01,2023-07,2026-06,36,Yes,244.38888888888889,0.6388888888888888,2.4274308597693257,Z,1.4274308597693257,2.769230769230769,1.4889296535134957,Lumpy,1.449230769230769,0.9989296535134957,161.1,2932.6666666666665,472452.6,Critical,Active,46,0.010055838639077351,0.8016632621168149,A,0.0016632621168148898,Valid,AZ
CNV-07,PLANT-01,2023-07,2026-06,36,Yes,485.6111111111111,0.5,1.0182556997411727,Z,0.018255699741172693,2.0,0.01842233502769273,Intermittent,0.6799999999999999,0.47157766497230724,74.52,5827.333333333333,434252.87999999995,High,Active,47,0.00924278306402509,0.8109060451808401,B,0.01090604518084004,Valid,BZ
CNV-04,PLANT-01,2023-07,2026-06,36,Yes,586.7777777777778,0.027777777777777776,0.2183785918110267,X,0.2816214081889733,1.0285714285714285,0.01858673132355128,Smooth,0.2914285714285716,0.4714132686764487,61.48,7041.333333333334,432901.17333333334,High,Active,48,0.009214012888715727,0.8201200580695558,B,0.020120058069555746,Valid,BX
SEA-08,PLANT-01,2023-07,2026-06,36,Yes,1570.7777777777778,0.3888888888888889,1.4829097360599626,Z,0.48290973605996257,1.6363636363636365,0.9549574521286505,Lumpy,0.3163636363636364,0.4649574521286505,22.83,18849.333333333336,430330.28,High,Active,49,0.009159293137954952,0.8292793512075108,B,0.029279351207510795,Valid,BZ
CNV-08,PLANT-01,2023-07,2026-06,36,Yes,430.72222222222223,0.7222222222222222,2.375717031339173,Z,1.375717031339173,3.6,0.845564281387504,Lumpy,2.2800000000000002,0.35556428138750396,78.87,5168.666666666667,407652.74000000005,High,Active,50,0.008676616816624046,0.8379559680241349,B,0.03795596802413481,Valid,BZ
BRG-04,PLANT-01,2023-07,2026-06,36,Yes,683.8888888888889,0.08333333333333333,1.1528245494635645,Z,0.1528245494635645,1.0909090909090908,1.1349207383587145,Erratic,0.22909090909090923,0.6449207383587146,49.42,8206.666666666668,405573.46666666673,High,Active,51,0.008632360869833752,0.8465883288939686,B,0.04658832889396858,Valid,BZ
SNS-02,PLANT-01,2023-07,2026-06,36,Yes,417.1388888888889,0.027777777777777776,1.1432619508138187,Z,0.14326195081381865,1.0285714285714285,1.2429632246181015,Erratic,0.2914285714285716,0.7529632246181015,79.97,5005.666666666667,400303.16333333333,Medium,Active,52,0.008520185976735498,0.8551085148707042,B,0.05510851487070412,Valid,BZ
GBX-02,PLANT-01,2023-07,2026-06,36,Yes,308.47222222222223,0.05555555555555555,0.26963966772718034,X,0.23036033227281966,1.0588235294117647,0.013110797611356214,Smooth,0.26117647058823534,0.4768892023886438,107.82,3701.666666666667,399113.7,High,Active,53,0.00849486904261957,0.8636033839133238,B,0.06360338391332376,Valid,BX
CNV-06,PLANT-01,2023-07,2026-06,36,Yes,463.55555555555554,0.4444444444444444,0.9229002529074004,Y,0.07709974709259959,1.8,0.02874715378696859,Intermittent,0.48,0.4612528462130314,70.17,5562.666666666666,390332.31999999995,High,Active,54,0.008307963223266641,0.8719113471365905,B,0.07191134713659042,Valid,BY
BRG-03,PLANT-01,2023-07,2026-06,36,Yes,609.75,0.05555555555555555,0.2646436282924153,X,0.23535637170758472,1.0588235294117647,0.010589791662675508,Smooth,0.26117647058823534,0.4794102083373245,45.93,7317.0,336069.81,High,Active,55,0.0071530218710308385,0.8790643690076213,B,0.07093563099237865,Valid,BX
SEA-06,PLANT-01,2023-07,2026-06,36,Yes,1306.611111111111,0.1388888888888889,1.22422295740355,Z,0.22422295740354992,1.1612903225806452,1.151677148123631,Erratic,0.15870967741935482,0.661677148123631,20.32,15679.333333333332,318604.0533333333,Medium,Active,56,0.006781274883609476,0.8858456438912309,B,0.06415435610876907,Valid,BZ
SEA-05,PLANT-01,2023-07,2026-06,36,Yes,1368.1944444444443,0.027777777777777776,0.19564131851631775,X,0.3043586814836823,1.0285714285714285,0.00943453869105875,Smooth,0.2914285714285716,0.48056546130894123,19.06,16418.333333333332,312933.4333333333,Medium,Active,57,0.00666057951712504,0.8925062234083558,B,0.05749377659164412,Valid,BX
FST-08,PLANT-01,2023-07,2026-06,36,Yes,2130.3333333333335,0.3888888888888889,1.6984755054349525,Z,0.6984755054349525,1.6363636363636365,1.3740560815659832,Lumpy,0.3163636363636364,0.8840560815659833,12.19,25564.0,311625.16,High,Active,58,0.006632733791361634,0.8991389571997174,B,0.050861042800282585,Valid,BZ
GBX-01,PLANT-01,2023-07,2026-06,36,Yes,260.27777777777777,0.027777777777777776,0.19466510793635328,X,0.3053348920636467,1.0285714285714285,0.00906410135209785,Smooth,0.2914285714285716,0.48093589864790215,98.94,3123.333333333333,309022.6,High,Active,59,0.006577340036710867,0.9057162972364283,B,0.04428370276357163,Valid,BX
CNV-03,PLANT-01,2023-07,2026-06,36,Yes,443.69444444444446,0.1111111111111111,1.1937930598369573,Z,0.19379305983695727,1.125,1.155681661968787,Erratic,0.19500000000000006,0.6656816619687871,57.13,5324.333333333334,304179.1633333334,High,Active,60,0.0064742507160497256,0.912190547952478,B,0.03780945204752195,Valid,BZ
SNS-01,PLANT-01,2023-07,2026-06,36,Yes,339.0833333333333,0.0,0.15052492460198375,X,0.34947507539801625,1.0,0.022657752926432892,Smooth,0.32000000000000006,0.4673422470735671,73.38,4069.0,298583.22,Medium,Active,61,0.006355144792633448,0.9185456927451114,B,0.031454307254888514,Valid,BX
FST-06,PLANT-01,2023-07,2026-06,36,Yes,2273.1944444444443,0.08333333333333333,1.1295474880815168,Z,0.12954748808151684,1.0909090909090908,1.0862210671786585,Erratic,0.22909090909090923,0.5962210671786585,10.85,27278.333333333332,295969.9166666666,Low,Active,62,0.006299522373294527,0.9248452151184059,B,0.02515478488159406,Valid,BZ
BRG-02,PLANT-01,2023-07,2026-06,36,Yes,539.5277777777778,0.027777777777777776,0.19897033185276125,X,0.30102966814723875,1.0285714285714285,0.01071171537544245,Smooth,0.2914285714285716,0.4792882846245575,42.43,6474.333333333334,274705.9633333334,High,Active,63,0.005846933301821813,0.9306921484202277,B,0.019307851579772217,Valid,BX
CVL-02,PLANT-01,2023-07,2026-06,36,Yes,134.88888888888889,0.3888888888888889,1.512216311537955,Z,0.512216311537955,1.6363636363636365,1.0085988834275572,Lumpy,0.3163636363636364,0.5185988834275572,166.0,1618.6666666666665,268698.6666666666,High,Phase-out,64,0.0057190719969267435,0.9364112204171544,B,0.013588779582845545,Valid,BZ
SEA-04,PLANT-01,2023-07,2026-06,36,Yes,1204.0,0.0,0.08871742623707947,X,0.41128257376292054,1.0,0.007870781718131636,Smooth,0.32000000000000006,0.48212921828186833,17.8,14448.0,257174.40000000002,Medium,Active,65,0.005473785663369267,0.9418850060805236,B,0.008114993919476343,Valid,BX
CNV-02,PLANT-01,2023-07,2026-06,36,Yes,405.27777777777777,0.05555555555555555,0.28298348884704094,X,0.21701651115295906,1.0588235294117647,0.020075229684485368,Smooth,0.26117647058823534,0.4699247703155146,52.79,4863.333333333333,256735.36666666664,High,Active,66,0.005464441131542842,0.9473494472120665,B,0.002650552787933469,Valid,BX
FST-05,PLANT-01,2023-07,2026-06,36,Yes,2100.6388888888887,0.0,0.08779885570818906,X,0.41220114429181093,1.0,0.007708639063667403,Smooth,0.32000000000000006,0.48229136093633257,10.18,25207.666666666664,256614.04666666663,Low,Active,67,0.005461858916218611,0.9528113061282851,B,0.0028113061282851737,Valid,BX
SEA-07,PLANT-01,2023-07,2026-06,36,Yes,865.5277777777778,0.5555555555555556,1.1204427563388075,Z,0.12044275633880752,2.25,0.002396431214268691,Intermittent,0.9299999999999999,0.4876035687857313,21.58,10386.333333333334,224137.07333333333,High,Active,68,0.004770608189001494,0.9575819143172866,C,0.007581914317286609,Valid,CZ
PCK-01,PLANT-01,2023-07,2026-06,36,Yes,44.083333333333336,0.5555555555555556,1.1647481418118786,Z,0.16474814181187858,2.25,0.047394770601877495,Intermittent,0.9299999999999999,0.4426052293981225,414.96,529.0,219513.84,Medium,Active,69,0.004672205749495809,0.9622541200667823,C,0.012254120066782392,Valid,CZ
BRG-01,PLANT-01,2023-07,2026-06,36,Yes,445.47222222222223,0.0,0.11414299001089523,X,0.38585700998910477,1.0,0.013028622168627327,Smooth,0.32000000000000006,0.47697137783137267,38.94,5345.666666666667,208160.26,High,Active,70,0.004430552367853172,0.9666846724346355,C,0.01668467243463556,Valid,CX
FST-04,PLANT-01,2023-07,2026-06,36,Yes,1771.888888888889,0.05555555555555555,0.2608579357394958,X,0.23914206426050422,1.0588235294117647,0.008710925825033652,Smooth,0.26117647058823534,0.48128907417496636,9.5,21262.666666666668,201995.33333333334,Low,Active,71,0.004299336013489275,0.9709840084481248,C,0.02098400844812487,Valid,CX
CNV-01,PLANT-01,2023-07,2026-06,36,Yes,334.30555555555554,0.027777777777777776,0.21383821260525201,X,0.28616178739474796,1.0285714285714285,0.01667881502659205,Smooth,0.2914285714285716,0.4733211849734079,48.44,4011.6666666666665,194325.13333333333,High,Active,72,0.004136080919688433,0.9751200893678132,C,0.025120089367813292,Valid,CX
SEA-03,PLANT-01,2023-07,2026-06,36,Yes,960.3333333333334,0.05555555555555555,0.25168930480015295,X,0.24831069519984705,1.0588235294117647,0.004272644697962953,Smooth,0.26117647058823534,0.48572735530203703,16.54,11524.0,190606.96,Medium,Active,73,0.00405694207894098,0.9791770314467543,C,0.02917703144675432,Valid,CX
FST-07,PLANT-01,2023-07,2026-06,36,Yes,1342.0555555555557,0.5555555555555556,1.1238434099274626,Z,0.12384340992746257,2.25,0.005788448905505278,Intermittent,0.9299999999999999,0.4842115510944947,11.52,16104.666666666668,185525.76,High,Active,74,0.003948792124230434,0.9831258235709847,C,0.0331258235709847,Valid,CZ
FST-03,PLANT-01,2023-07,2026-06,36,Yes,1509.3055555555557,0.027777777777777776,0.19483994315309747,X,0.3051600568469025,1.0285714285714285,0.009130308907682743,Smooth,0.2914285714285716,0.48086969109231725,8.83,18111.666666666668,159926.0166666667,Low,Active,75,0.003403918652983168,0.9865297422239678,C,0.036529742223967876,Valid,CX
SEA-02,PLANT-01,2023-07,2026-06,36,Yes,837.4444444444445,0.027777777777777776,0.18398225537923826,X,0.3160177446207617,1.0285714285714285,0.005131429452919265,Smooth,0.2914285714285716,0.4848685705470807,15.28,10049.333333333334,153553.81333333332,Medium,Active,76,0.0032682905529464847,0.9897980327769142,C,0.039798032776914294,Valid,CX
CVL-01,PLANT-01,2023-07,2026-06,36,Yes,77.19444444444444,0.5555555555555556,1.1311890031016945,Z,0.13118900310169446,2.25,0.013150471439202234,Intermittent,0.9299999999999999,0.47684952856079776,152.33,926.3333333333333,141108.35666666666,High,Phase-out,77,0.0030033973043335454,0.9928014300812479,C,0.042801430081247926,Valid,CZ
FST-02,PLANT-01,2023-07,2026-06,36,Yes,1313.5555555555557,0.0,0.07880009660263074,X,0.42119990339736924,1.0,0.0062094552245839365,Smooth,0.32000000000000006,0.48379054477541605,8.16,15762.666666666668,128623.36000000002,Low,Active,78,0.0027376624731792277,0.9955390925544271,C,0.04553909255442712,Valid,CX
SEA-01,PLANT-01,2023-07,2026-06,36,Yes,697.5277777777778,0.0,0.05706743009524048,X,0.44293256990475954,1.0,0.0032566915776751585,Smooth,0.32000000000000006,0.4867433084223248,14.02,8370.333333333334,117352.07333333333,Medium,Active,79,0.002497760650277239,0.9980368532047043,C,0.0480368532047043,Valid,CX
FST-01,PLANT-01,2023-07,2026-06,36,Yes,1026.1944444444443,0.05555555555555555,0.2503388199890176,X,0.24966118001098242,1.0588235294117647,0.0036323289716329575,Smooth,0.26117647058823534,0.48636767102836703,7.49,12314.333333333332,92234.35666666666,Low,Active,80,0.0019631467952956724,1.0,C,0.050000000000000044,Valid,CX
