Month,Product_Group_Code,Product_Group,SKU_Description,SKU,Selected_Model,Forecast_Units,PI80_Lower_Units,PI80_Upper_Units,PI95_Lower_Units,PI95_Upper_Units,Demand_Profile
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,664,581.0127328060083,746.9872671939917,537.081927213357,790.918072786643,Seasonal
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,552,469.01273280600833,634.9872671939917,425.0819272133569,678.918072786643,Seasonal
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,518,435.01273280600833,600.9872671939917,391.0819272133569,644.918072786643,Seasonal
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,476,393.01273280600833,558.9872671939917,349.0819272133569,602.918072786643,Seasonal
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,400,317.01273280600833,482.98726719399167,273.0819272133569,526.918072786643,Seasonal
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,576,493.01273280600833,658.9872671939917,449.0819272133569,702.918072786643,Seasonal
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,625,542.0127328060083,707.9872671939917,498.0819272133569,751.918072786643,Seasonal
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,579,496.01273280600833,661.9872671939917,452.0819272133569,705.918072786643,Seasonal
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,753.3784425279385,669.4092532018118,837.3476318540653,624.9586494310481,881.798235624829,Seasonal
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,721.2244109804968,637.2552216543701,805.1936003066236,592.8046178836064,849.6442040773873,Seasonal
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,719.3829661042176,635.4137767780909,803.3521554303444,590.9631730073272,847.8027592011081,Seasonal
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,634.223024241892,550.2538349157652,718.1922135680187,505.8032311450016,762.6428173387824,Seasonal
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,621.3888764191014,537.4196870929746,705.3580657452281,492.969083322211,749.8086695159918,Seasonal
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,604.576983117241,520.6077937911142,688.5461724433677,476.1571900203506,732.9967762141314,Seasonal
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,622.65104373352,538.6818544073933,706.6202330596468,494.2312506366297,751.0708368304104,Seasonal
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,666.548818281427,582.5796289553002,750.5180076075537,538.1290251845367,794.9686113783173,Seasonal
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,653.1221855284037,569.152996202277,737.0913748545305,524.7023924315133,781.5419786252942,Seasonal
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,736.5696860637524,652.6004967376257,820.5388753898792,608.1498929668621,864.9894791606428,Seasonal
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,699.3784425279387,615.4092532018119,783.3476318540654,570.9586494310483,827.798235624829,Seasonal
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,785.0481249121246,701.0789355859979,869.0173142382514,656.6283318152343,913.467918009015,Seasonal
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,808.9268463383705,1009.0731536616295,755.951318800203,1062.048681199797,Seasonal
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,767.4751888622768,1050.5248111377232,692.556479343931,1125.443520656069,Seasonal
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,735.6682133844104,1082.3317866155896,643.9119081305399,1174.0880918694602,Seasonal
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,708.853692676741,1109.146307323259,602.902637600406,1215.097362399594,Seasonal
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,685.2296256898145,1132.7703743101856,566.7727449705598,1251.2272550294401,Seasonal
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,663.8718365778738,1154.1281634221264,534.1088252546047,1283.8911747453953,Seasonal
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,644.2313224973756,1173.7686775026245,504.0712510589305,1313.9287489410694,Seasonal
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,625.9503777245536,1192.0496222754464,476.11295868786186,1341.887041312138,Seasonal
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,608.7805390151116,1209.2194609848884,449.853956400609,1368.146043599391,Seasonal
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,592.5409017932316,1225.4590982067684,425.01757452364967,1392.9824254763503,Seasonal
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,577.0948977167943,1240.9051022832057,401.3949498015528,1416.6050501984473,Seasonal
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Naive,909,562.3364267688206,1255.6635732311793,378.82381626107986,1439.1761837389201,Seasonal
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,997.6571428571428,833.8207441553458,1161.49354155894,747.0909936317635,1248.2232920825222,Seasonal
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,1000.3142857142857,765.4186203453293,1235.2099510832422,641.0723662897766,1359.5562051387947,Seasonal
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,1002.9714285714285,711.4224203264138,1294.5204368164432,557.0856981398401,1448.857159003017,Seasonal
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,1005.6285714285714,664.5759107760632,1346.6812320810795,484.0335379689418,1527.223604888201,Seasonal
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,1008.2857142857142,622.1196191949689,1394.4518093764596,417.69563677549354,1598.875791795935,Seasonal
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,1010.9428571428572,582.663939628709,1439.2217746570054,355.94677564783024,1665.9389386378841,Seasonal
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,1013.6,545.3984921996484,1481.8015078003516,297.54758551437965,1729.6524144856203,Seasonal
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,1016.2571428571429,509.80505711167837,1522.7092286026073,241.70551758993793,1790.8087681243478,Seasonal
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,1018.9142857142857,475.53042421735427,1562.2981472112172,187.88038356950187,1849.9481878590695,Seasonal
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,1021.5714285714286,442.32228593531056,1600.8205712075464,135.68631230609765,1907.4565448367593,Seasonal
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,1024.2285714285713,409.9937953990669,1638.4633474580755,84.83754617687839,1963.6195966802643,Seasonal
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,Drift,1026.8857142857144,378.40256612122323,1675.3688624502056,35.11632384106565,2018.655104730363,Seasonal
2026-07-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,951,835.2147534225674,1066.7852465774326,773.9217463158258,1128.0782536841741,Seasonal
2026-08-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,981,865.2147534225674,1096.7852465774326,803.9217463158258,1158.0782536841741,Seasonal
2026-09-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,950,834.2147534225674,1065.7852465774326,772.9217463158258,1127.0782536841741,Seasonal
2026-10-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,875,759.2147534225674,990.7852465774326,697.9217463158258,1052.0782536841741,Seasonal
2026-11-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1094,978.2147534225674,1209.7852465774326,916.9217463158258,1271.0782536841741,Seasonal
2026-12-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1113,997.2147534225674,1228.7852465774326,935.9217463158258,1290.0782536841741,Seasonal
2027-01-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1257,1141.2147534225674,1372.7852465774326,1079.9217463158259,1434.0782536841741,Seasonal
2027-02-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1138,1022.2147534225674,1253.7852465774326,960.9217463158258,1315.0782536841741,Seasonal
2027-03-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1234,1118.2147534225674,1349.7852465774326,1056.9217463158259,1411.0782536841741,Seasonal
2027-04-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1287,1171.2147534225674,1402.7852465774326,1109.9217463158259,1464.0782536841741,Seasonal
2027-05-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1211,1095.2147534225674,1326.7852465774326,1033.9217463158259,1388.0782536841741,Seasonal
2027-06-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1223,1107.2147534225674,1338.7852465774326,1045.9217463158259,1400.0782536841741,Seasonal
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1082,913.5502960212058,1250.4497039787943,824.3784092023101,1339.6215907976898,Seasonal
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1102,933.5502960212058,1270.4497039787943,844.3784092023101,1359.6215907976898,Seasonal
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1145,976.5502960212058,1313.4497039787943,887.3784092023101,1402.6215907976898,Seasonal
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1431,1262.5502960212057,1599.4497039787943,1173.3784092023102,1688.6215907976898,Seasonal
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1163,994.5502960212058,1331.4497039787943,905.3784092023101,1420.6215907976898,Seasonal
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1278,1109.5502960212057,1446.4497039787943,1020.3784092023101,1535.6215907976898,Seasonal
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1476,1307.5502960212057,1644.4497039787943,1218.3784092023102,1733.6215907976898,Seasonal
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1543,1374.5502960212057,1711.4497039787943,1285.3784092023102,1800.6215907976898,Seasonal
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1367,1198.5502960212057,1535.4497039787943,1109.3784092023102,1624.6215907976898,Seasonal
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1402,1233.5502960212057,1570.4497039787943,1144.3784092023102,1659.6215907976898,Seasonal
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1354,1185.5502960212057,1522.4497039787943,1096.3784092023102,1611.6215907976898,Seasonal
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1197,1028.5502960212057,1365.4497039787943,939.3784092023101,1454.6215907976898,Seasonal
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1428.0857142857142,1186.4116131422843,1669.759815429144,1058.4770719398061,1797.6943566316222,Seasonal
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1432.1714285714286,1085.6782241287715,1778.6646330140857,902.2558014098408,1962.0870557330163,Seasonal
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1436.2571428571428,1006.1949279575208,1866.3193577567647,778.5337433647571,2093.980542349528,Seasonal
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1440.3428571428572,937.2580978410398,1943.4276164446746,670.9411132625421,2209.7446010231724,Seasonal
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1444.4285714285713,874.7972522429617,2014.0598906141809,573.2526468020883,2315.6044960550544,Seasonal
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1448.5142857142857,816.76259165207,2080.2659797765014,482.333446156787,2414.6951252717845,Seasonal
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1452.6,761.9587295116279,2143.241270488372,396.35532535129573,2508.8446746487043,Seasonal
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1456.6857142857143,709.6212428703772,2203.7501857010516,314.14920036769126,2599.2222282037374,Seasonal
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1460.7714285714285,659.2291135322704,2262.3137436105867,234.91824263738727,2686.6246145054697,Seasonal
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1464.857142857143,610.4101640787285,2319.3041216355573,158.09325591741822,2771.6210297968673,Seasonal
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1468.942857142857,562.8887778039036,2374.9969364818107,83.2527208311767,2854.6329934545374,Seasonal
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Drift,1473.0285714285715,516.454921243742,2429.602221613401,10.075418914917918,2935.981723942225,Seasonal
2026-07-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,451,399.56734768001974,502.43265231998026,372.340546188874,529.659453811126,Seasonal
2026-08-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,419,367.56734768001974,470.43265231998026,340.340546188874,497.659453811126,Seasonal
2026-09-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,454,402.56734768001974,505.43265231998026,375.340546188874,532.659453811126,Seasonal
2026-10-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,381,329.56734768001974,432.43265231998026,302.340546188874,459.659453811126,Seasonal
2026-11-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,354,302.56734768001974,405.43265231998026,275.340546188874,432.659453811126,Seasonal
2026-12-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,415,363.56734768001974,466.43265231998026,336.340546188874,493.659453811126,Seasonal
2027-01-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,325,273.56734768001974,376.43265231998026,246.340546188874,403.659453811126,Seasonal
2027-02-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,298,246.56734768001974,349.43265231998026,219.340546188874,376.659453811126,Seasonal
2027-03-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,254,202.56734768001974,305.43265231998026,175.340546188874,332.659453811126,Seasonal
2027-04-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,330,278.56734768001974,381.43265231998026,251.340546188874,408.659453811126,Seasonal
2027-05-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,332,280.56734768001974,383.43265231998026,253.340546188874,410.659453811126,Seasonal
2027-06-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,337,285.56734768001974,388.43265231998026,258.340546188874,415.659453811126,Seasonal
2026-07-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,507,417.7126981274952,596.2873018725048,370.44685563042617,643.5531443695738,Seasonal
2026-08-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,490,400.7126981274952,579.2873018725048,353.44685563042617,626.5531443695738,Seasonal
2026-09-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,518,428.7126981274952,607.2873018725048,381.44685563042617,654.5531443695738,Seasonal
2026-10-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,497,407.7126981274952,586.2873018725048,360.44685563042617,633.5531443695738,Seasonal
2026-11-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,387,297.7126981274952,476.2873018725048,250.4468556304262,523.5531443695738,Seasonal
2026-12-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,404,314.7126981274952,493.2873018725048,267.44685563042617,540.5531443695738,Seasonal
2027-01-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,370,280.7126981274952,459.2873018725048,233.4468556304262,506.55314436957383,Seasonal
2027-02-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,318,228.71269812749517,407.2873018725048,181.4468556304262,454.55314436957383,Seasonal
2027-03-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,308,218.71269812749517,397.2873018725048,171.4468556304262,444.55314436957383,Seasonal
2027-04-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,439,349.7126981274952,528.2873018725048,302.44685563042617,575.5531443695738,Seasonal
2027-05-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,408,318.7126981274952,497.2873018725048,271.44685563042617,544.5531443695738,Seasonal
2027-06-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,519,429.7126981274952,608.2873018725048,382.44685563042617,655.5531443695738,Seasonal
2026-07-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,639.0747438628699,561.1958552119415,716.9536325137983,519.9692618708442,758.1802258548956,Seasonal
2026-08-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,519,422.72116757346146,615.2788324265385,371.75423236723805,666.245767632762,Seasonal
2026-09-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,518,421.72116757346146,614.2788324265385,370.75423236723805,665.245767632762,Seasonal
2026-10-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,368,271.72116757346146,464.27883242653854,220.75423236723805,515.245767632762,Seasonal
2026-11-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,470,373.72116757346146,566.2788324265385,322.75423236723805,617.245767632762,Seasonal
2026-12-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,452,355.72116757346146,548.2788324265385,304.75423236723805,599.245767632762,Seasonal
2027-01-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,501,404.72116757346146,597.2788324265385,353.75423236723805,648.245767632762,Seasonal
2027-02-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,430.00000000000006,333.7211675734615,526.2788324265387,282.7542323672381,577.245767632762,Seasonal
2027-03-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,488,391.72116757346146,584.2788324265385,340.75423236723805,635.245767632762,Seasonal
2027-04-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,579,482.72116757346146,675.2788324265385,431.75423236723805,726.245767632762,Seasonal
2027-05-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,583,486.72116757346146,679.2788324265385,435.75423236723805,730.245767632762,Seasonal
2027-06-01,CNV,Conveying Components,Conveying Components Standard,CNV-03,ARIMA,570,473.72116757346146,666.2788324265385,422.75423236723805,717.245767632762,Seasonal
2026-07-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,668.0423008715303,588.0635135584236,748.021088184637,545.7253010134214,790.3593007296392,Seasonal
2026-08-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,564.2588420768941,484.28005476378735,644.2376293900008,441.9418422187852,686.575841935003,Seasonal
2026-09-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,553.7247467779446,473.7459594648378,633.7035340910513,431.4077469198357,676.0417466360535,Seasonal
2026-10-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,570.0953257394974,490.11653842639066,650.0741130526042,447.7783258813885,692.4123255976064,Seasonal
2026-11-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,532.8112442372468,452.83245692414005,612.7900315503535,410.4942443791379,655.1282440953557,Seasonal
2026-12-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,525.7247467779445,445.7459594648377,605.7035340910512,403.4077469198356,648.0417466360534,Seasonal
2027-01-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,507.94128798330837,427.9625006702016,587.9200752964151,385.6242881251995,630.2582878414173,Seasonal
2027-02-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,569.449493555889,489.4707062427823,649.4282808689958,447.13249369778015,691.766493413998,Seasonal
2027-03-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,610.0606077329332,530.0818204198265,690.03939504604,487.74360787482436,732.3776075910422,Seasonal
2027-04-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,769.524616717742,689.5458294046352,849.5034040308487,647.207616859633,891.8416165758509,Seasonal
2027-05-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,565.299247232183,485.32045991907626,645.2780345452898,442.9822473740741,687.616247090292,Seasonal
2027-06-01,CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,ARIMA,704.2916643672168,624.31287705411,784.2704516803235,581.9746645091078,826.6086642253257,Seasonal
2026-07-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,818,705.6094377118263,930.3905622881737,646.1134679169804,989.8865320830196,Seasonal
2026-08-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,593,480.60943771182633,705.3905622881737,421.1134679169805,764.8865320830196,Seasonal
2026-09-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,538,425.60943771182633,650.3905622881737,366.1134679169805,709.8865320830196,Seasonal
2026-10-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,578,465.60943771182633,690.3905622881737,406.1134679169805,749.8865320830196,Seasonal
2026-11-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,562,449.60943771182633,674.3905622881737,390.1134679169805,733.8865320830196,Seasonal
2026-12-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,651,538.6094377118263,763.3905622881737,479.1134679169805,822.8865320830196,Seasonal
2027-01-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,665,552.6094377118263,777.3905622881737,493.1134679169805,836.8865320830196,Seasonal
2027-02-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,647,534.6094377118263,759.3905622881737,475.1134679169805,818.8865320830196,Seasonal
2027-03-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,783,670.6094377118263,895.3905622881737,611.1134679169804,954.8865320830196,Seasonal
2027-04-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,837,724.6094377118263,949.3905622881737,665.1134679169804,1008.8865320830196,Seasonal
2027-05-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,834,721.6094377118263,946.3905622881737,662.1134679169804,1005.8865320830196,Seasonal
2027-06-01,CNV,Conveying Components,Conveying Components Precision,CNV-05,Seasonal_Naive,806,693.6094377118263,918.3905622881737,634.1134679169804,977.8865320830196,Seasonal
2026-07-01,CNV,Conveying Components,Conveying Components High Capacity,CNV-06,Seasonal_Naive,763,628.8970945419649,897.1029054580351,557.9073045623139,968.0926954376861,Seasonal
