Month,Product_Group_Code,Product_Group,SKU_Description,SKU,Model,Forecast_Units,PI80_Lower_Units,PI80_Upper_Units,PI95_Lower_Units,PI95_Upper_Units,Interval_Method,Demand_Profile,Q10_Units,Q20_Units,Q30_Units,Q40_Units,Q50_Units,Q60_Units,Q70_Units,Q80_Units,Q90_Units,Selected_Model
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,571.0,488.01273280600833,653.9872671939917,444.0819272133569,697.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,573.0,490.01273280600833,655.9872671939917,446.0819272133569,699.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,607.0,524.0127328060083,689.9872671939917,480.0819272133569,733.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,559.0,476.01273280600833,641.9872671939917,432.0819272133569,685.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,664.0,581.0127328060083,746.9872671939917,537.081927213357,790.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,552.0,469.01273280600833,634.9872671939917,425.0819272133569,678.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,518.0,435.01273280600833,600.9872671939917,391.0819272133569,644.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,476.0,393.01273280600833,558.9872671939917,349.0819272133569,602.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,400.0,317.01273280600833,482.98726719399167,273.0819272133569,526.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,576.0,493.01273280600833,658.9872671939917,449.0819272133569,702.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,625.0,542.0127328060083,707.9872671939917,498.0819272133569,751.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,579.0,496.01273280600833,661.9872671939917,452.0819272133569,705.918072786643,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,645.9166666666666,546.5513711873685,745.2819621459647,493.9505611359508,797.8827721973825,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,786.0,643.9579153922689,928.0420846077312,568.7653778396051,1003.2346221603948,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,854.0,711.9579153922689,996.0420846077312,636.7653778396051,1071.234622160395,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,733.0,590.9579153922689,875.0420846077311,515.7653778396051,950.2346221603948,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,721.0,578.9579153922689,863.0420846077311,503.7653778396051,938.2346221603948,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,720.0,577.9579153922689,862.0420846077311,502.7653778396051,937.2346221603948,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,705.0,562.9579153922689,847.0420846077311,487.7653778396051,922.2346221603948,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,704.0,561.9579153922689,846.0420846077311,486.7653778396051,921.2346221603948,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,742.0,599.9579153922689,884.0420846077311,524.7653778396051,959.2346221603948,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,869.0,726.9579153922689,1011.0420846077312,651.7653778396051,1086.234622160395,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,978.0,835.9579153922689,1120.042084607731,760.7653778396051,1195.234622160395,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,1025.0,882.9579153922689,1167.042084607731,807.7653778396051,1242.234622160395,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,Seasonal_Naive,909.0,766.9579153922689,1051.042084607731,691.7653778396051,1126.234622160395,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,859.8918201918092,771.4745300249263,948.309110358692,724.6692439047008,995.1143964789176,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,886.1690408155982,797.7517506487153,974.5863309824812,750.9464645284897,1021.3916171027068,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,834.4459162307033,746.0286260638204,922.8632063975864,699.223339943595,969.6684925178116,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,854.7231368544923,766.3058466876093,943.1404270213752,719.5005605673839,989.9457131416008,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,883.9495453518758,795.5322551849929,972.3668355187588,748.7269690647674,1019.1721216389842,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,735.6045752262127,647.1872850593297,824.0218653930956,600.3819989391043,870.827151513321,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,1122.5814152344517,1034.1641250675684,1210.9987054013343,987.358838947343,1257.80399152156,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,1039.8783393331712,951.4610491662884,1128.2956295000542,904.6557630460628,1175.1009156202797,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,991.4289788552348,903.0116886883518,1079.8462690221177,856.2064025681264,1126.651555142343,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,1110.4967283571089,1022.079438190226,1198.914018523992,975.2741520700004,1245.7193046442171,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,1158.3007380938318,1069.8834479269487,1246.7180282607148,1023.0781618067232,1293.5233143809403,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,ARIMA,987.2838007183632,898.8665105514804,1075.7010908852462,852.0612244312549,1122.5063770054717,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,ARIMA
2026-07-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,951.0,835.2147534225674,1066.7852465774326,773.9217463158258,1128.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-08-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,981.0,865.2147534225674,1096.7852465774326,803.9217463158258,1158.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-09-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,950.0,834.2147534225674,1065.7852465774326,772.9217463158258,1127.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-10-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,875.0,759.2147534225674,990.7852465774326,697.9217463158258,1052.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-11-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1094.0,978.2147534225674,1209.7852465774326,916.9217463158258,1271.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-12-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1113.0,997.2147534225674,1228.7852465774326,935.9217463158258,1290.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-01-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1257.0,1141.2147534225674,1372.7852465774326,1079.921746315826,1434.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-02-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1138.0,1022.2147534225674,1253.7852465774326,960.9217463158258,1315.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-03-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1234.0,1118.2147534225674,1349.7852465774326,1056.921746315826,1411.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-04-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1287.0,1171.2147534225674,1402.7852465774326,1109.921746315826,1464.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-05-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1211.0,1095.2147534225674,1326.7852465774326,1033.921746315826,1388.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-06-01,BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,Seasonal_Naive,1223.0,1107.2147534225674,1338.7852465774326,1045.921746315826,1400.078253684174,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1082.0,913.5502960212058,1250.4497039787943,824.3784092023101,1339.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1102.0,933.5502960212058,1270.4497039787943,844.3784092023101,1359.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1145.0,976.5502960212058,1313.4497039787943,887.3784092023101,1402.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1431.0,1262.5502960212057,1599.4497039787943,1173.3784092023102,1688.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1163.0,994.5502960212058,1331.4497039787943,905.37840920231,1420.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1278.0,1109.5502960212057,1446.4497039787943,1020.37840920231,1535.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1476.0,1307.5502960212057,1644.4497039787943,1218.3784092023102,1733.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1543.0,1374.5502960212057,1711.4497039787943,1285.3784092023102,1800.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1367.0,1198.5502960212057,1535.4497039787943,1109.3784092023102,1624.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1402.0,1233.5502960212057,1570.4497039787943,1144.3784092023102,1659.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1354.0,1185.5502960212057,1522.4497039787943,1096.3784092023102,1611.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,Seasonal_Naive,1197.0,1028.5502960212057,1365.4497039787943,939.37840920231,1454.6215907976898,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,Mean,1503.8333333333333,1247.2540075975005,1760.412659069166,1111.4291171158616,1896.237549550805,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Mean
2026-07-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,451.0,399.56734768001974,502.43265231998026,372.340546188874,529.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-08-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,419.0,367.56734768001974,470.43265231998026,340.340546188874,497.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-09-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,454.0,402.56734768001974,505.43265231998026,375.340546188874,532.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-10-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,381.0,329.56734768001974,432.43265231998026,302.340546188874,459.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-11-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,354.0,302.56734768001974,405.43265231998026,275.340546188874,432.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-12-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,415.0,363.56734768001974,466.43265231998026,336.340546188874,493.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-01-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,325.0,273.56734768001974,376.43265231998026,246.340546188874,403.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-02-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,298.0,246.56734768001976,349.43265231998026,219.340546188874,376.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-03-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,254.0,202.56734768001976,305.43265231998026,175.340546188874,332.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-04-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,330.0,278.56734768001974,381.43265231998026,251.340546188874,408.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-05-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,332.0,280.56734768001974,383.43265231998026,253.340546188874,410.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2027-06-01,CNV,Conveying Components,Conveying Components Core,CNV-01,Seasonal_Naive,337.0,285.56734768001974,388.43265231998026,258.340546188874,415.659453811126,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-07-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,507.0,417.7126981274952,596.2873018725048,370.44685563042617,643.5531443695738,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
2026-08-01,CNV,Conveying Components,Conveying Components Compact,CNV-02,Seasonal_Naive,490.0,400.7126981274952,579.2873018725048,353.44685563042617,626.5531443695738,Native fable 80% and 95% model intervals,Seasonal,,,,,,,,,,Seasonal_Naive
